Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
1/18/12,4.345,2.84,5.23,1.39,8.0049,7.525,2.54,3.38,4.972,4.801,5.94,4.3036,2.78962,5.3171,1.38886,7.962,7.3543,2.567,3.356,5.0527,4.7553,6.0837,497.5,6.275,1837.5,19.8374,237.22,50.415,3.804,1141.63,13.3089,3.3739,7.9575,101.47,99.12,101.73,99.22,99.51,98.64,99.4,98.24,100.65,99.98,102.36,2407.69,57.11,1109.82,307.11,1000.76,640.57,215.48,538.33,5899.76,1546.16,868.47,14.54,3.67,12.9275,16.895,21.405,10.5325,9.6,11.705,13.695,18.395,16.7525,,,,,,,,,,,
1/19/12,4.4,2.79,5.2,1.425,7.99,7.52,2.55,3.385,4.995,4.787,5.94,4.3609,2.72362,5.3167,1.43191,7.9028,7.3352,2.5742,3.3622,5.0565,4.7158,6.0924,492.7,6.2955,1837.5,19.5043,234.19,50.235,3.7785,1137.48,13.221,3.3213,7.9337,101.77,99.11,101.71,99.21,99.52,98.65,99.4,98.22,100.67,100,102.37,2438.61,57.87,1102.65,308.66,1024.24,648.87,217.23,546.7,5966,1557.6,870.64,14.47,3.5675,12.9225,16.685,20.9375,10.68,9.4725,11.6225,13.72,18.3375,16.405,,,,,,,,,,,
1/20/12,4.425,2.74,5.22,1.43,7.945,7.57,2.56,3.403,4.931,4.782,6.01,4.5103,2.65042,5.3083,1.44816,7.929,7.4174,2.5752,3.3826,5.005,4.7233,6.1531,490.3,6.3035,1825.5,19.6441,234.9,50.3337,3.7885,1134.28,13.1813,3.3355,7.9516,101.53,99.14,101.63,99.26,99.56,98.66,99.44,98.25,100.67,100.07,102.58,2440.66,57.95,1099.08,314.44,1043.22,652.06,217.82,558.4,5920.1,1570.57,869.93,14.43,3.5675,12.85,16.6425,20.9025,10.5925,9.45,11.475,13.735,18.26,16.5025,,,,,,,,,,,
1/23/12,4.445,2.74,5.24,1.44,7.815,7.53,2.48,3.4025,4.945,4.7905,5.9725,4.4301,2.64142,5.3358,1.45866,7.7534,7.3515,2.4969,3.3826,5.0336,4.7375,6.1009,489.5,6.3045,1812.6,19.4692,230.64,50.0825,3.7805,1134.28,13.1685,3.2868,7.933,101.76,99.1,101.65,99.19,99.53,98.61,99.4,98.17,100.63,100.05,102.62,2435.62,57.95,1110.17,313.28,1055.1,650.15,218.09,558.4,5933.25,1571.71,871.78,14.21,3.5675,12.8975,16.5575,20.6225,10.6225,9.4525,11.3,13.695,18.185,16.525,,,,,,,,,,,
1/24/12,4.445,2.7596,5.26,1.445,7.6224,7.58,2.53,3.4025,4.94,4.802,5.968,4.4338,2.73424,5.351,1.46266,7.4748,7.4218,2.5747,3.3826,5.0176,4.7983,6.1096,491,6.3075,1813.69,19.4282,229.36,50.0687,3.781,1134.28,13.0998,3.2786,7.9364,101.73,99.1,101.63,99.21,99.55,98.63,99.41,98.18,100.61,100.06,102.61,2411.05,57.95,1104.82,312.12,1044.86,660.08,217.23,558.4,5857.49,1569.7,866.91,14.19,3.5675,12.9175,16.725,20.77,10.535,9.36,11.33,13.765,18.335,16.515,,,,,,,,,,,
1/25/12,4.43,2.7596,5.25,1.435,7.645,7.585,2.55,3.425,4.86,4.9,6,4.4021,2.66182,5.3426,1.44247,7.493,7.3958,2.6027,3.4088,4.9298,4.8589,6.1523,491,6.298,1808.73,19.2585,226.15,50.0987,3.7637,1125.95,13.019,3.2476,7.8898,101.76,99.08,101.63,99.19,99.54,98.59,99.4,98.15,100.59,100.06,102.75,2400.97,57.95,1097.78,310.81,1032.92,666.21,216.88,559.18,5928.23,1561.75,860.57,14.02,3.5675,12.9225,16.77,20.8075,10.415,9.37,11.27,13.54,18.345,16.75,,,,,,,,,,,
1/26/12,4.37,2.71,5.26,1.41,7.65,7.585,2.48,3.413,4.84,4.87,5.8825,4.3429,2.68559,5.3666,1.41844,7.6019,7.4028,2.5227,3.3954,4.8989,4.8324,6.0158,491,6.293,1808.95,19.2028,225.73,50.0987,3.7563,1121.83,12.9913,3.2336,7.7922,102.2,99.06,101.66,99.19,99.54,98.56,99.39,98.16,100.62,100.05,102.84,2426.33,59.09,1105.37,317.03,1066.12,666.21,219.14,559.39,6037.15,1597.13,872.24,13.69,3.465,12.73,16.4325,20.515,10.33,9.29,11.205,13.525,18.18,16.005,,,,,,,,,,,
1/27/12,4.395,2.71,5.24,1.405,7.6366,7.61,2.47,3.415,4.822,4.925,5.8675,4.3701,2.68559,5.3157,1.39994,7.5475,7.4268,2.5229,3.3967,4.8765,4.9052,5.9827,491,6.287,1808.5,19.0028,222.28,49.315,3.7472,1123.15,12.9169,3.1972,7.7559,102.05,99.04,101.65,99.13,99.47,98.52,99.39,98.05,100.59,100.05,102.86,2436.32,59.21,1091.63,317.1,1075.34,672.23,218.42,562.1,6015.64,1594.9,871.68,13.77,3.465,12.4025,16.515,20.3825,10.315,9.28,11.22,13.693,18.14,15.8625,,,,,,,,,,,
1/30/12,4.4,2.81,5.24,1.4,7.775,7.52,2.43,3.39,4.81,4.939,5.88,4.3746,2.82035,5.3414,1.40868,7.7162,7.3164,2.4675,3.3687,4.8521,4.9151,6.0093,489.1,6.313,1814.5,19.2115,224.27,49.7988,3.7541,1127.23,12.9776,3.2377,7.8414,101.89,99.07,101.64,99.13,99.44,98.52,99.41,98.05,100.61,100.06,102.86,2414.72,57.81,1108.11,312.02,1061.55,657.42,213.75,554.05,5988.54,1602.85,865.73,13.8,3.4675,12.4475,16.895,20.7125,10.325,9.2875,11.545,13.95,18.405,16.0525,,,,,,,,,,,
1/31/12,4.445,2.9601,5.42,1.39,7.76,7.6,2.45,3.405,4.848,4.928,5.869,4.4204,2.97279,5.495,1.39438,7.6896,7.4004,2.4988,3.3854,4.8914,4.8887,5.9916,489.1,6.3035,1807.81,19.3553,225.47,49.455,3.746,1123.38,13.0456,3.2289,7.8108,101.71,99.08,101.59,99.18,99.53,98.55,99.41,98.11,100.65,100.09,102.83,2431.46,58.65,1130.18,322.08,1051.93,672.49,215.96,557.81,6016.1,1613.19,872.23,13.8,3.465,12.4075,16.77,20.6025,10.35,9.3075,11.725,13.995,18.3325,16.0575,4.25,4.5,3.54,3.5,5.5,6.26,2,3.3,4.05,4.1,6.3
