Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,-8186.68,76,-1.15,-107.21,15000.0,-8186.68,214.43,0.0,-214.43,0.0,-214.43,16260.0
2013-01-01,CNY,-5567.76,68,-1.47,-82.11,15000.0,-5567.76,82.11,0.0,-82.11,0.0,-82.11,16260.0
2013-01-01,COP,6113.83,76,1.3,80.89,15000.0,6113.83,242.67,-0.0,-242.67,0.0,-242.67,16260.0
2013-01-01,CZK,5609.16,39,1.3,143.94,15000.0,5609.16,215.91,0.0,-215.91,0.0,-215.91,16260.0
2013-01-01,HUF,2909.54,104,1.57,27.87,15000.0,2909.54,83.61,0.0,-83.61,0.0,-83.61,16260.0
2013-01-01,INR,4270.92,56,0.65,75.67,15000.0,4270.92,151.35,0.0,-151.35,0.0,-151.35,16260.0
2013-01-01,ILS,5616.63,54,1.47,103.86,15000.0,5616.63,207.72,0.0,-207.72,0.0,-207.72,16260.0
2013-01-01,KRW,0.0,57,0.47,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16260.0
2013-01-01,MXN,-4692.91,46,-0.81,-102.13,15000.0,-4692.91,102.13,-0.0,-102.13,0.0,-102.13,16260.0
2013-01-01,PLN,5009.74,67,1.94,75.18,15000.0,5009.74,112.77,-0.0,-112.77,0.0,-112.77,16260.0
2013-01-01,ZAR,2823.22,66,0.68,42.71,15000.0,2823.22,64.06,0.0,-64.06,0.0,-64.06,16260.0
2013-01-02,CLP,-8186.68,76,-1.18,-107.63,15000.0,0.0,0.0,472.42,472.42,472.42,257.99,16254.0
2013-01-02,CNY,-5567.76,67,-1.49,-82.5,15000.0,0.0,0.0,536.64,536.64,536.64,454.53,16254.0
2013-01-02,COP,6113.83,75,1.32,81.2,15000.0,0.0,0.0,186.92,186.92,186.92,-55.75,16254.0
2013-01-02,CZK,5609.16,39,1.28,144.42,15000.0,0.0,0.0,-525.83,-525.83,-525.83,-741.74,16254.0
2013-01-02,HUF,2909.54,104,1.58,27.96,15000.0,0.0,0.0,163.91,163.91,163.91,80.3,16254.0
2013-01-02,INR,4270.92,56,0.68,75.94,15000.0,0.0,0.0,-14.91,-14.91,-14.91,-166.25,16254.0
2013-01-02,ILS,5616.63,54,1.45,104.07,15000.0,0.0,0.0,-533.22,-533.22,-533.22,-740.93,16254.0
2013-01-02,KRW,0.0,57,0.47,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16254.0
2013-01-02,MXN,-4692.91,46,-0.79,-102.66,15000.0,0.0,0.0,-114.41,-114.41,-114.41,-216.54,16254.0
2013-01-02,PLN,5009.74,67,1.9,74.71,15000.0,0.0,0.0,-546.62,-546.62,-546.62,-659.39,16254.0
2013-01-02,ZAR,2823.22,66,0.68,42.94,15000.0,0.0,0.0,15.54,15.54,15.54,-48.52,16254.0
2013-01-03,CLP,-8186.68,76,-1.2,-108.17,15000.0,0.0,0.0,53.12,53.12,525.54,311.11,16220.0
2013-01-03,CNY,-5567.76,67,-1.5,-82.85,15000.0,0.0,0.0,14.51,14.51,551.14,469.03,16220.0
2013-01-03,COP,6113.83,75,1.34,81.59,15000.0,0.0,0.0,270.28,270.28,457.2,214.53,16220.0
2013-01-03,CZK,5609.16,39,1.26,144.8,15000.0,0.0,0.0,-135.26,-135.26,-661.09,-877.0,16220.0
2013-01-03,HUF,2909.54,103,1.58,28.11,15000.0,0.0,0.0,49.7,49.7,213.61,130.0,16220.0
2013-01-03,INR,4270.92,56,0.7,76.22,15000.0,0.0,0.0,-23.91,-23.91,-38.82,-190.17,16220.0
2013-01-03,ILS,5616.63,54,1.42,103.85,15000.0,0.0,0.0,-159.43,-159.43,-692.65,-900.37,16220.0
2013-01-03,KRW,0.0,57,0.49,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16220.0
2013-01-03,MXN,-4692.91,45,-0.81,-103.2,15000.0,0.0,0.0,286.8,286.8,172.39,70.26,16220.0
2013-01-03,PLN,5009.74,68,1.84,73.26,15000.0,0.0,0.0,-514.08,-514.08,-1060.7,-1173.47,16220.0
2013-01-03,ZAR,2823.22,65,0.67,43.12,15000.0,0.0,0.0,-147.37,-147.37,-131.83,-195.89,16220.0
2013-01-04,CLP,-8186.68,75,-1.21,-108.79,15000.0,0.0,0.0,-116.41,-116.41,409.13,194.7,16006.0
2013-01-04,CNY,-5567.76,67,-1.53,-82.8,15000.0,0.0,0.0,501.62,501.62,1052.76,970.65,16006.0
2013-01-04,COP,6113.83,80,1.47,75.96,15000.0,0.0,0.0,3072.51,3072.51,3529.71,3287.04,16006.0
2013-01-04,CZK,5609.16,39,1.24,144.84,15000.0,0.0,0.0,-174.71,-174.71,-835.8,-1051.71,16006.0
2013-01-04,HUF,2909.54,103,1.55,28.12,15000.0,0.0,0.0,-416.57,-416.57,-202.96,-286.57,16006.0
2013-01-04,INR,4270.92,56,0.69,76.62,15000.0,0.0,0.0,-361.71,-361.71,-400.53,-551.88,16006.0
2013-01-04,ILS,5616.63,55,1.37,102.47,15000.0,0.0,0.0,-505.35,-505.35,-1198.0,-1405.71,16006.0
2013-01-04,KRW,0.0,56,0.51,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16006.0
2013-01-04,MXN,-4692.91,45,-0.86,-103.48,15000.0,0.0,0.0,308.79,308.79,481.18,379.05,16006.0
2013-01-04,PLN,5009.74,70,1.78,71.56,15000.0,0.0,0.0,-195.24,-195.24,-1255.94,-1368.71,16006.0
2013-01-04,ZAR,2823.22,66,0.64,43.1,15000.0,0.0,0.0,-197.51,-197.51,-329.34,-393.4,16006.0
2013-01-07,CLP,-8186.68,75,-1.22,-109.4,15000.0,0.0,0.0,7.8,7.8,416.93,202.5,16017.0
2013-01-07,CNY,-5567.76,67,-1.54,-83.06,15000.0,0.0,0.0,-300.1,-300.1,752.66,670.55,16017.0
2013-01-07,COP,6113.83,80,1.48,76.29,15000.0,0.0,0.0,-2549.18,-2549.18,980.53,737.86,16017.0
2013-01-07,CZK,5609.16,39,1.23,144.86,15000.0,0.0,0.0,351.85,351.85,-483.94,-699.86,16017.0
2013-01-07,HUF,2909.54,103,1.53,28.15,15000.0,0.0,0.0,-12.64,-12.64,-215.59,-299.2,16017.0
2013-01-07,INR,4270.92,55,0.69,77.07,15000.0,0.0,0.0,126.34,126.34,-274.2,-425.55,16017.0
2013-01-07,ILS,5616.63,55,1.34,101.58,15000.0,0.0,0.0,143.4,143.4,-1054.6,-1262.31,16017.0
2013-01-07,KRW,0.0,56,0.52,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16017.0
2013-01-07,MXN,-4692.91,45,-0.87,-104.05,15000.0,0.0,0.0,-369.04,-369.04,112.14,10.01,16017.0
2013-01-07,PLN,5009.74,71,1.74,70.45,15000.0,0.0,0.0,122.4,122.4,-1133.54,-1246.3,16017.0
2013-01-07,ZAR,2823.22,65,0.63,43.27,15000.0,0.0,0.0,156.69,156.69,-172.65,-236.7,16017.0
2013-01-08,CLP,-8186.68,74,-1.23,-110.03,15000.0,0.0,0.0,-56.77,-56.77,360.16,145.73,16027.0
2013-01-08,CNY,-5567.76,67,-1.53,-83.49,15000.0,0.0,0.0,-300.48,-300.48,452.18,370.07,16027.0
2013-01-08,COP,6113.83,81,1.52,75.89,15000.0,0.0,0.0,767.19,767.19,1747.73,1505.06,16027.0
2013-01-08,CZK,5609.16,39,1.22,145.17,15000.0,0.0,0.0,148.52,148.52,-335.42,-551.34,16027.0
2013-01-08,HUF,2909.54,103,1.51,28.25,15000.0,0.0,0.0,102.45,102.45,-113.14,-196.76,16027.0
2013-01-08,INR,4270.92,55,0.66,77.1,15000.0,0.0,0.0,-333.28,-333.28,-607.48,-758.82,16027.0
2013-01-08,ILS,5616.63,55,1.32,101.47,15000.0,0.0,0.0,397.85,397.85,-656.75,-864.47,16027.0
2013-01-08,KRW,0.0,56,0.54,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16027.0
2013-01-08,MXN,-4692.91,45,-0.84,-104.62,15000.0,0.0,0.0,-272.75,-272.75,-160.61,-262.74,16027.0
2013-01-08,PLN,5009.74,71,1.71,70.41,15000.0,0.0,0.0,572.87,572.87,-560.67,-673.44,16027.0
2013-01-08,ZAR,2823.22,65,0.63,43.48,15000.0,0.0,0.0,102.75,102.75,-69.89,-133.95,16027.0
2013-01-09,CLP,-8186.68,74,-1.22,-110.48,15000.0,0.0,0.0,-311.88,-311.88,48.28,-166.15,16100.0
2013-01-09,CNY,-5567.76,66,-1.53,-83.92,15000.0,0.0,0.0,15.92,15.92,468.1,385.99,16100.0
2013-01-09,COP,6113.83,80,1.52,76.19,15000.0,0.0,0.0,-516.64,-516.64,1231.09,988.42,16100.0
2013-01-09,CZK,5609.16,38,1.2,145.83,15000.0,0.0,0.0,-286.25,-286.25,-621.67,-837.59,16100.0
2013-01-09,HUF,2909.54,103,1.5,28.31,15000.0,0.0,0.0,104.51,104.51,-8.63,-92.24,16100.0
2013-01-09,INR,4270.92,55,0.65,77.34,15000.0,0.0,0.0,140.77,140.77,-466.71,-618.05,16100.0
2013-01-09,ILS,5616.63,55,1.32,102.05,15000.0,0.0,0.0,465.62,465.62,-191.13,-398.85,16100.0
