Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,-7236.65,76,-1.11,-94.77,15000.0,-7236.65,189.54,0.0,-189.54,0.0,-189.54,16121.0
2013-01-01,CNY,-6107.07,68,-1.71,-90.06,15000.0,-6107.07,90.06,0.0,-90.06,0.0,-90.06,16121.0
2013-01-01,COP,5840.33,76,1.5,77.27,15000.0,5840.33,231.82,-0.0,-231.82,0.0,-231.82,16121.0
2013-01-01,CZK,5678.11,39,1.67,145.71,15000.0,5678.11,218.57,0.0,-218.57,0.0,-218.57,16121.0
2013-01-01,HUF,2961.41,104,1.89,28.37,15000.0,2961.41,85.1,0.0,-85.1,0.0,-85.1,16121.0
2013-01-01,INR,4057.13,56,0.83,71.89,15000.0,4057.13,143.77,0.0,-143.77,0.0,-143.77,16121.0
2013-01-01,ILS,5191.97,54,1.72,96.01,15000.0,5191.97,192.01,0.0,-192.01,0.0,-192.01,16121.0
2013-01-01,KRW,0.0,57,0.77,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16121.0
2013-01-01,MXN,-4474.46,46,-0.83,-97.37,15000.0,-4474.46,97.37,-0.0,-97.37,0.0,-97.37,16121.0
2013-01-01,PLN,5505.78,67,2.45,82.62,15000.0,5505.78,123.93,-0.0,-123.93,0.0,-123.93,16121.0
2013-01-01,ZAR,2823.8,66,0.96,42.71,15000.0,2823.8,64.07,0.0,-64.07,0.0,-64.07,16121.0
2013-01-02,CLP,-7236.65,76,-1.14,-95.14,15000.0,0.0,0.0,417.6,417.6,417.6,228.05,16115.0
2013-01-02,CNY,-6107.07,67,-1.73,-90.49,15000.0,0.0,0.0,588.61,588.61,588.61,498.55,16115.0
2013-01-02,COP,5840.33,75,1.51,77.57,15000.0,0.0,0.0,178.56,178.56,178.56,-53.26,16115.0
2013-01-02,CZK,5678.11,39,1.65,146.19,15000.0,0.0,0.0,-532.29,-532.29,-532.29,-750.86,16115.0
