Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,-7386.66,76,-1.12,-96.74,15000.0,-7386.66,193.47,0.0,-193.47,0.0,-193.47,16147.0
2013-01-01,CNY,-6043.56,68,-1.67,-89.13,15000.0,-6043.56,89.13,0.0,-89.13,0.0,-89.13,16147.0
2013-01-01,COP,5876.36,76,1.45,77.75,15000.0,5876.36,233.25,-0.0,-233.25,0.0,-233.25,16147.0
2013-01-01,CZK,5658.07,39,1.6,145.2,15000.0,5658.07,217.8,0.0,-217.8,0.0,-217.8,16147.0
2013-01-01,HUF,2948.78,104,1.83,28.25,15000.0,2948.78,84.74,0.0,-84.74,0.0,-84.74,16147.0
2013-01-01,INR,4098.64,56,0.8,72.62,15000.0,4098.64,145.24,0.0,-145.24,0.0,-145.24,16147.0
2013-01-01,ILS,5255.12,54,1.67,97.17,15000.0,5255.12,194.35,0.0,-194.35,0.0,-194.35,16147.0
2013-01-01,KRW,0.0,57,0.72,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16147.0
2013-01-01,MXN,-4543.79,46,-0.83,-98.88,15000.0,-4543.79,98.88,-0.0,-98.88,0.0,-98.88,16147.0
2013-01-01,PLN,5415.5,67,2.35,81.27,15000.0,5415.5,121.9,-0.0,-121.9,0.0,-121.9,16147.0
2013-01-01,ZAR,2835.59,66,0.91,42.89,15000.0,2835.59,64.34,0.0,-64.34,0.0,-64.34,16147.0
2013-01-02,CLP,-7386.66,76,-1.15,-97.11,15000.0,0.0,0.0,426.26,426.26,426.26,232.78,16141.0
2013-01-02,CNY,-6043.56,67,-1.69,-89.55,15000.0,0.0,0.0,582.49,582.49,582.49,493.37,16141.0
2013-01-02,COP,5876.36,75,1.47,78.05,15000.0,0.0,0.0,179.66,179.66,179.66,-53.59,16141.0
2013-01-02,CZK,5658.07,39,1.58,145.68,15000.0,0.0,0.0,-530.41,-530.41,-530.41,-748.21,16141.0
2013-01-02,HUF,2948.78,104,1.84,28.33,15000.0,0.0,0.0,166.12,166.12,166.12,81.39,16141.0
2013-01-02,INR,4098.64,56,0.83,72.88,15000.0,0.0,0.0,-14.31,-14.31,-14.31,-159.55,16141.0
2013-01-02,ILS,5255.12,54,1.65,97.38,15000.0,0.0,0.0,-498.9,-498.9,-498.9,-693.24,16141.0
2013-01-02,KRW,0.0,57,0.72,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16141.0
2013-01-02,MXN,-4543.79,46,-0.82,-99.4,15000.0,0.0,0.0,-110.78,-110.78,-110.78,-209.66,16141.0
2013-01-02,PLN,5415.5,67,2.31,80.76,15000.0,0.0,0.0,-590.9,-590.9,-590.9,-712.79,16141.0
2013-01-02,ZAR,2835.59,66,0.9,43.13,15000.0,0.0,0.0,15.6,15.6,15.6,-48.73,16141.0
2013-01-03,CLP,-7386.66,76,-1.17,-97.6,15000.0,0.0,0.0,47.92,47.92,474.18,280.71,16103.0
2013-01-03,CNY,-6043.56,67,-1.71,-89.93,15000.0,0.0,0.0,15.75,15.75,598.24,509.11,16103.0
2013-01-03,COP,5876.36,75,1.49,78.42,15000.0,0.0,0.0,259.78,259.78,439.44,206.2,16103.0
2013-01-03,CZK,5658.07,39,1.56,146.06,15000.0,0.0,0.0,-136.44,-136.44,-666.85,-884.65,16103.0
2013-01-03,HUF,2948.78,103,1.84,28.49,15000.0,0.0,0.0,50.37,50.37,216.5,131.76,16103.0
2013-01-03,INR,4098.64,56,0.85,73.14,15000.0,0.0,0.0,-22.95,-22.95,-37.26,-182.5,16103.0
2013-01-03,ILS,5255.12,54,1.63,97.16,15000.0,0.0,0.0,-149.17,-149.17,-648.07,-842.41,16103.0
2013-01-03,KRW,0.0,57,0.74,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16103.0
2013-01-03,MXN,-4543.79,45,-0.84,-99.92,15000.0,0.0,0.0,277.69,277.69,166.91,68.03,16103.0
2013-01-03,PLN,5415.5,68,2.25,79.2,15000.0,0.0,0.0,-555.72,-555.72,-1146.61,-1268.51,16103.0
2013-01-03,ZAR,2835.59,65,0.89,43.31,15000.0,0.0,0.0,-148.01,-148.01,-132.41,-196.74,16103.0
2013-01-04,CLP,-7386.66,75,-1.19,-98.16,15000.0,0.0,0.0,-105.04,-105.04,369.14,175.67,15889.0
2013-01-04,CNY,-6043.56,67,-1.75,-89.88,15000.0,0.0,0.0,544.48,544.48,1142.72,1053.59,15889.0
2013-01-04,COP,5876.36,80,1.62,73.01,15000.0,0.0,0.0,2953.17,2953.17,3392.61,3159.37,15889.0
2013-01-04,CZK,5658.07,39,1.54,146.11,15000.0,0.0,0.0,-176.23,-176.23,-843.08,-1060.88,15889.0
2013-01-04,HUF,2948.78,103,1.82,28.5,15000.0,0.0,0.0,-422.19,-422.19,-205.7,-290.43,15889.0
2013-01-04,INR,4098.64,56,0.84,73.53,15000.0,0.0,0.0,-347.12,-347.12,-384.38,-529.62,15889.0
2013-01-04,ILS,5255.12,55,1.59,95.88,15000.0,0.0,0.0,-472.82,-472.82,-1120.89,-1315.23,15889.0
2013-01-04,KRW,0.0,56,0.75,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,15889.0
2013-01-04,MXN,-4543.79,45,-0.89,-100.19,15000.0,0.0,0.0,298.98,298.98,465.89,367.01,15889.0
