Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,-7281.84,76,-1.12,-95.36,15000.0,-7281.84,190.73,0.0,-190.73,0.0,-190.73,16129.0
2013-01-01,CNY,-6088.92,68,-1.7,-89.79,15000.0,-6088.92,89.79,0.0,-89.79,0.0,-89.79,16129.0
2013-01-01,COP,5851.08,76,1.48,77.41,15000.0,5851.08,232.24,-0.0,-232.24,0.0,-232.24,16129.0
2013-01-01,CZK,5671.62,39,1.64,145.55,15000.0,5671.62,218.32,0.0,-218.32,0.0,-218.32,16129.0
2013-01-01,HUF,2957.56,104,1.88,28.33,15000.0,2957.56,84.99,0.0,-84.99,0.0,-84.99,16129.0
2013-01-01,INR,4070.15,56,0.82,72.12,15000.0,4070.15,144.23,0.0,-144.23,0.0,-144.23,16129.0
2013-01-01,ILS,5210.98,54,1.7,96.36,15000.0,5210.98,192.71,0.0,-192.71,0.0,-192.71,16129.0
2013-01-01,KRW,0.0,57,0.76,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16129.0
2013-01-01,MXN,-4496.73,46,-0.83,-97.86,15000.0,-4496.73,97.86,-0.0,-97.86,0.0,-97.86,16129.0
2013-01-01,PLN,5477.82,67,2.42,82.2,15000.0,5477.82,123.3,-0.0,-123.3,0.0,-123.3,16129.0
2013-01-01,ZAR,2827.8,66,0.94,42.77,15000.0,2827.8,64.16,0.0,-64.16,0.0,-64.16,16129.0
2013-01-02,CLP,-7281.84,76,-1.14,-95.73,15000.0,0.0,0.0,420.21,420.21,420.21,229.48,16123.0
2013-01-02,CNY,-6088.92,67,-1.72,-90.22,15000.0,0.0,0.0,586.87,586.87,586.87,497.07,16123.0
2013-01-02,COP,5851.08,75,1.5,77.71,15000.0,0.0,0.0,178.89,178.89,178.89,-53.35,16123.0
2013-01-02,CZK,5671.62,39,1.63,146.03,15000.0,0.0,0.0,-531.68,-531.68,-531.68,-750.0,16123.0
2013-01-02,HUF,2957.56,104,1.88,28.42,15000.0,0.0,0.0,166.62,166.62,166.62,81.63,16123.0
2013-01-02,INR,4070.15,56,0.85,72.37,15000.0,0.0,0.0,-14.21,-14.21,-14.21,-158.44,16123.0
2013-01-02,ILS,5210.98,54,1.69,96.56,15000.0,0.0,0.0,-494.71,-494.71,-494.71,-687.42,16123.0
2013-01-02,KRW,0.0,57,0.76,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16123.0
2013-01-02,MXN,-4496.73,46,-0.82,-98.37,15000.0,0.0,0.0,-109.63,-109.63,-109.63,-207.49,16123.0
2013-01-02,PLN,5477.82,67,2.38,81.69,15000.0,0.0,0.0,-597.7,-597.7,-597.7,-721.0,16123.0
2013-01-02,ZAR,2827.8,66,0.94,43.01,15000.0,0.0,0.0,15.56,15.56,15.56,-48.6,16123.0
