Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,-7195.25,76,-1.11,-94.23,15000.0,-7195.25,188.46,0.0,-188.46,0.0,-188.46,16114.0
2013-01-01,CNY,-6122.9,68,-1.72,-90.3,15000.0,-6122.9,90.3,0.0,-90.3,0.0,-90.3,16114.0
2013-01-01,COP,5830.56,76,1.51,77.14,15000.0,5830.56,231.43,-0.0,-231.43,0.0,-231.43,16114.0
2013-01-01,CZK,5684.41,39,1.69,145.87,15000.0,5684.41,218.81,0.0,-218.81,0.0,-218.81,16114.0
2013-01-01,HUF,2964.95,104,1.91,28.4,15000.0,2964.95,85.2,0.0,-85.2,0.0,-85.2,16114.0
2013-01-01,INR,4044.76,56,0.84,71.67,15000.0,4044.76,143.33,0.0,-143.33,0.0,-143.33,16114.0
2013-01-01,ILS,5174.55,54,1.73,95.68,15000.0,5174.55,191.37,0.0,-191.37,0.0,-191.37,16114.0
2013-01-01,KRW,0.0,57,0.79,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16114.0
2013-01-01,MXN,-4453.0,46,-0.83,-96.91,15000.0,-4453.0,96.91,-0.0,-96.91,0.0,-96.91,16114.0
2013-01-01,PLN,5532.04,67,2.48,83.02,15000.0,5532.04,124.52,-0.0,-124.52,0.0,-124.52,16114.0
2013-01-01,ZAR,2819.8,66,0.97,42.65,15000.0,2819.8,63.98,0.0,-63.98,0.0,-63.98,16114.0
2013-01-02,CLP,-7195.25,76,-1.14,-94.6,15000.0,0.0,0.0,415.21,415.21,415.21,226.75,16108.0
2013-01-02,CNY,-6122.9,67,-1.75,-90.73,15000.0,0.0,0.0,590.14,590.14,590.14,499.85,16108.0
2013-01-02,COP,5830.56,75,1.53,77.44,15000.0,0.0,0.0,178.26,178.26,178.26,-53.17,16108.0
2013-01-02,CZK,5684.41,39,1.67,146.36,15000.0,0.0,0.0,-532.88,-532.88,-532.88,-751.69,16108.0
2013-01-02,HUF,2964.95,104,1.92,28.49,15000.0,0.0,0.0,167.03,167.03,167.03,81.83,16108.0
2013-01-02,INR,4044.76,56,0.87,71.92,15000.0,0.0,0.0,-14.12,-14.12,-14.12,-157.45,16108.0
