Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,6295.66,76,0.09,82.45,15000.0,6295.66,164.9,0.0,-164.9,0.0,-164.9,16514.0
2013-01-01,CNY,-11751.38,68,-1.73,-173.3,15000.0,-11751.38,173.3,0.0,-173.3,0.0,-173.3,16514.0
2013-01-01,COP,3528.98,76,0.8,46.69,15000.0,3528.98,140.07,-0.0,-140.07,0.0,-140.07,16514.0
2013-01-01,CZK,-6904.05,39,-1.44,-177.17,15000.0,-6904.05,265.76,0.0,-265.76,0.0,-265.76,16514.0
2013-01-01,HUF,-8428.06,104,-1.5,-80.73,15000.0,-8428.06,242.2,0.0,-242.2,0.0,-242.2,16514.0
2013-01-01,INR,0.0,56,-0.55,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16514.0
2013-01-01,ILS,0.0,54,-0.66,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16514.0
2013-01-01,KRW,-3241.66,57,-1.32,-57.01,15000.0,-3241.66,85.52,-0.0,-85.52,0.0,-85.52,16514.0
2013-01-01,MXN,3134.98,46,0.29,68.22,15000.0,3134.98,68.22,-0.0,-68.22,0.0,-68.22,16514.0
2013-01-01,PLN,0.0,67,-0.73,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16514.0
2013-01-01,ZAR,2524.2,66,0.03,38.18,15000.0,2524.2,57.27,0.0,-57.27,0.0,-57.27,16514.0
2013-01-02,CLP,6295.66,76,0.41,82.77,15000.0,0.0,0.0,-363.3,-363.3,-363.3,-528.2,17207.0
2013-01-02,CNY,-11751.38,67,-2.09,-174.13,15000.0,0.0,0.0,1132.63,1132.63,1132.63,959.33,17207.0
2013-01-02,COP,3528.98,75,0.96,46.87,15000.0,0.0,0.0,107.89,107.89,107.89,-32.18,17207.0
2013-01-02,CZK,-6904.05,39,-1.59,-177.76,15000.0,0.0,0.0,647.22,647.22,647.22,381.46,17207.0
2013-01-02,HUF,-8428.06,104,-1.66,-80.98,15000.0,0.0,0.0,-474.81,-474.81,-474.81,-717.0,17207.0
2013-01-02,INR,-2539.76,56,-0.72,-45.16,15000.0,-2539.76,90.32,-0.0,-90.32,0.0,-90.32,17207.0
2013-01-02,ILS,-2614.02,54,-0.82,-48.44,15000.0,-2614.02,96.87,-0.0,-96.87,0.0,-96.87,17207.0
2013-01-02,KRW,-3241.66,57,-1.52,-57.29,15000.0,0.0,0.0,43.63,43.63,43.63,-41.89,17207.0
2013-01-02,MXN,3134.98,46,0.48,68.58,15000.0,0.0,0.0,76.43,76.43,76.43,8.21,17207.0
2013-01-02,PLN,0.0,67,-0.87,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,17207.0
2013-01-02,ZAR,2524.2,66,0.31,38.4,15000.0,0.0,0.0,13.89,13.89,13.89,-43.38,17207.0
2013-01-03,CLP,6295.66,76,0.62,83.18,15000.0,0.0,0.0,-40.85,-40.85,-404.14,-569.04,17214.0
2013-01-03,CNY,-11751.38,67,-2.31,-174.86,15000.0,0.0,0.0,30.62,30.62,1163.25,989.95,17214.0
2013-01-03,COP,3528.98,75,1.03,47.1,15000.0,0.0,0.0,156.01,156.01,263.9,123.83,17214.0
2013-01-03,CZK,-6904.05,39,-1.68,-178.23,15000.0,0.0,0.0,166.48,166.48,813.7,547.94,17214.0
2013-01-03,HUF,-8428.06,103,-1.75,-81.44,15000.0,0.0,0.0,-143.97,-143.97,-618.78,-860.97,17214.0
2013-01-03,INR,-2539.76,56,-0.79,-45.32,15000.0,0.0,0.0,14.22,14.22,14.22,-76.09,17214.0
2013-01-03,ILS,-2614.02,54,-0.91,-48.33,15000.0,0.0,0.0,74.2,74.2,74.2,-22.67,17214.0
2013-01-03,KRW,-3241.66,57,-1.66,-57.34,15000.0,0.0,0.0,-312.66,-312.66,-269.03,-354.55,17214.0
2013-01-03,MXN,3134.98,45,0.62,68.94,15000.0,0.0,0.0,-191.59,-191.59,-115.16,-183.38,17214.0
2013-01-03,PLN,0.0,68,-0.96,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,17214.0
2013-01-03,ZAR,2524.2,65,0.54,38.55,15000.0,0.0,0.0,-131.76,-131.76,-117.87,-175.14,17214.0
2013-01-04,CLP,6295.66,75,0.67,83.66,15000.0,0.0,0.0,89.52,89.52,-314.62,-479.52,17419.0
2013-01-04,CNY,-11751.38,67,-2.32,-174.77,15000.0,0.0,0.0,1058.71,1058.71,2221.96,2048.66,17419.0
2013-01-04,COP,3528.98,80,1.11,43.85,15000.0,0.0,0.0,1773.49,1773.49,2037.39,1897.32,17419.0
2013-01-04,CZK,-6904.05,39,-1.69,-178.28,15000.0,0.0,0.0,215.04,215.04,1028.74,762.98,17419.0
2013-01-04,HUF,-8428.06,103,-1.79,-81.45,15000.0,0.0,0.0,1206.69,1206.69,587.91,345.71,17419.0
2013-01-04,INR,-2539.76,56,-0.82,-45.56,15000.0,0.0,0.0,215.1,215.1,229.32,139.0,17419.0
2013-01-04,ILS,-2614.02,55,-0.97,-47.69,15000.0,0.0,0.0,235.19,235.19,309.39,212.52,17419.0
2013-01-04,KRW,-3241.66,56,-1.71,-57.62,15000.0,0.0,0.0,58.97,58.97,-210.06,-295.58,17419.0
2013-01-04,MXN,3134.98,45,0.73,69.13,15000.0,0.0,0.0,-206.28,-206.28,-321.44,-389.66,17419.0
2013-01-04,PLN,0.0,70,-1.05,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,17419.0
2013-01-04,ZAR,2524.2,66,0.58,38.54,15000.0,0.0,0.0,-176.59,-176.59,-294.46,-351.73,17419.0
2013-01-07,CLP,6295.66,75,0.68,84.13,15000.0,0.0,0.0,-6.0,-6.0,-320.62,-485.52,17515.0
2013-01-07,CNY,-11751.38,67,-2.29,-175.3,15000.0,0.0,0.0,-633.39,-633.39,1588.57,1415.27,17515.0
2013-01-07,COP,3528.98,80,1.16,44.04,15000.0,0.0,0.0,-1471.42,-1471.42,565.98,425.9,17515.0
2013-01-07,CZK,-6904.05,39,-1.7,-178.3,15000.0,0.0,0.0,-433.08,-433.08,595.66,329.9,17515.0
2013-01-07,HUF,-8428.06,103,-1.8,-81.55,15000.0,0.0,0.0,36.6,36.6,624.51,382.31,17515.0
2013-01-07,INR,-2539.76,55,-0.84,-45.83,15000.0,0.0,0.0,-75.13,-75.13,154.19,63.88,17515.0
2013-01-07,ILS,-2614.02,55,-1.01,-47.28,15000.0,0.0,0.0,-66.74,-66.74,242.65,145.78,17515.0
2013-01-07,KRW,-3241.66,56,-1.77,-57.92,15000.0,0.0,0.0,29.11,29.11,-180.95,-266.47,17515.0
2013-01-07,MXN,3134.98,45,0.76,69.51,15000.0,0.0,0.0,246.53,246.53,-74.91,-143.13,17515.0
2013-01-07,PLN,0.0,71,-1.1,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,17515.0
2013-01-07,ZAR,2524.2,65,0.62,38.68,15000.0,0.0,0.0,140.1,140.1,-154.36,-211.63,17515.0
2013-01-08,CLP,6295.66,74,0.71,84.62,15000.0,0.0,0.0,43.66,43.66,-276.97,-441.87,17609.0
2013-01-08,CNY,-11751.38,67,-2.24,-176.22,15000.0,0.0,0.0,-634.19,-634.19,954.38,781.08,17609.0
2013-01-08,COP,3528.98,81,1.16,43.8,15000.0,0.0,0.0,442.83,442.83,1008.81,868.74,17609.0
2013-01-08,CZK,-6904.05,39,-1.7,-178.69,15000.0,0.0,0.0,-182.8,-182.8,412.86,147.1,17609.0
2013-01-08,HUF,-8428.06,103,-1.77,-81.83,15000.0,0.0,0.0,-296.76,-296.76,327.75,85.55,17609.0
2013-01-08,INR,-2539.76,55,-0.85,-45.85,15000.0,0.0,0.0,198.19,198.19,352.38,262.06,17609.0
2013-01-08,ILS,-2614.02,55,-1.04,-47.23,15000.0,0.0,0.0,-185.16,-185.16,57.49,-39.38,17609.0
2013-01-08,KRW,-3241.66,56,-1.77,-58.1,15000.0,0.0,0.0,-163.12,-163.12,-344.07,-429.6,17609.0
2013-01-08,MXN,3134.98,45,0.87,69.89,15000.0,0.0,0.0,182.2,182.2,107.29,39.07,17609.0
2013-01-08,PLN,0.0,71,-1.12,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,17609.0
2013-01-08,ZAR,2524.2,65,0.71,38.88,15000.0,0.0,0.0,91.87,91.87,-62.49,-119.76,17609.0
2013-01-09,CLP,6295.66,74,0.73,84.96,15000.0,0.0,0.0,239.84,239.84,-37.13,-202.03,17638.0
2013-01-09,CNY,-11751.38,66,-2.16,-177.12,15000.0,0.0,0.0,33.6,33.6,987.98,814.68,17638.0
2013-01-09,COP,3528.98,80,1.15,43.98,15000.0,0.0,0.0,-298.21,-298.21,710.6,570.53,17638.0
2013-01-09,CZK,-6904.05,38,-1.67,-179.49,15000.0,0.0,0.0,352.33,352.33,765.19,499.43,17638.0
2013-01-09,HUF,-8428.06,103,-1.74,-82.01,15000.0,0.0,0.0,-302.74,-302.74,25.0,-217.19,17638.0
2013-01-09,INR,-2539.76,55,-0.85,-45.99,15000.0,0.0,0.0,-83.71,-83.71,268.67,178.35,17638.0
