Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,0.0,76,-0.06,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16063.0
2013-01-01,CNY,0.0,68,-0.08,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16063.0
2013-01-01,COP,7595.73,76,0.61,100.5,15000.0,7595.73,301.49,-0.0,-301.49,0.0,-301.49,16063.0
2013-01-01,CZK,3440.66,39,0.17,88.29,15000.0,3440.66,132.44,0.0,-132.44,0.0,-132.44,16063.0
2013-01-01,HUF,3258.23,104,0.03,31.21,15000.0,3258.23,93.63,0.0,-93.63,0.0,-93.63,16063.0
2013-01-01,INR,-3105.72,56,-0.21,-55.03,15000.0,-3105.72,110.06,0.0,-110.06,0.0,-110.06,16063.0
2013-01-01,ILS,-5798.31,54,-0.4,-107.22,15000.0,-5798.31,214.43,0.0,-214.43,0.0,-214.43,16063.0
2013-01-01,KRW,2595.42,57,0.03,45.65,15000.0,2595.42,68.47,-0.0,-68.47,0.0,-68.47,16063.0
2013-01-01,MXN,10694.91,46,0.98,232.74,15000.0,10694.91,232.74,-0.0,-232.74,0.0,-232.74,16063.0
2013-01-01,PLN,-8368.53,67,-0.6,-125.58,15000.0,-8368.53,188.37,-0.0,-188.37,0.0,-188.37,16063.0
2013-01-01,ZAR,-3244.61,66,-0.26,-49.08,15000.0,-3244.61,73.62,0.0,-73.62,0.0,-73.62,16063.0
2013-01-02,CLP,-3188.67,76,-0.18,-41.92,15000.0,-3188.67,83.84,-0.0,-83.84,0.0,-83.84,16433.0
2013-01-02,CNY,0.0,67,0.05,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16433.0
2013-01-02,COP,7595.73,75,0.57,100.88,15000.0,0.0,0.0,232.23,232.23,232.23,-69.26,16433.0
2013-01-02,CZK,3440.66,39,0.24,88.59,15000.0,0.0,0.0,-322.54,-322.54,-322.54,-454.98,16433.0
2013-01-02,HUF,3258.23,104,0.1,31.31,15000.0,0.0,0.0,183.56,183.56,183.56,89.93,16433.0
2013-01-02,INR,-3105.72,56,-0.17,-55.22,15000.0,0.0,0.0,10.84,10.84,10.84,-99.22,16433.0
2013-01-02,ILS,-5798.31,54,-0.34,-107.44,15000.0,0.0,0.0,550.47,550.47,550.47,336.03,16433.0
2013-01-02,KRW,2595.42,57,0.1,45.87,15000.0,0.0,0.0,-34.93,-34.93,-34.93,-103.4,16433.0
2013-01-02,MXN,10694.91,46,0.93,233.96,15000.0,0.0,0.0,260.74,260.74,260.74,28.0,16433.0
2013-01-02,PLN,-8368.53,67,-0.54,-124.8,15000.0,0.0,0.0,913.11,913.11,913.11,724.74,16433.0
2013-01-02,ZAR,-3244.61,66,-0.35,-49.35,15000.0,0.0,0.0,-17.86,-17.86,-17.86,-91.47,16433.0
2013-01-03,CLP,-3188.67,76,-0.27,-42.13,15000.0,0.0,0.0,20.69,20.69,20.69,-63.16,16696.0
2013-01-03,CNY,3477.34,67,0.17,51.74,15000.0,3477.34,51.74,-0.0,-51.74,0.0,-51.74,16696.0
2013-01-03,COP,7595.73,75,0.53,101.37,15000.0,0.0,0.0,335.79,335.79,568.02,266.53,16696.0
2013-01-03,CZK,3440.66,39,0.31,88.82,15000.0,0.0,0.0,-82.97,-82.97,-405.51,-537.95,16696.0
2013-01-03,HUF,3258.23,103,0.17,31.48,15000.0,0.0,0.0,55.66,55.66,239.21,145.58,16696.0
2013-01-03,INR,-3105.72,56,-0.14,-55.42,15000.0,0.0,0.0,17.39,17.39,28.23,-81.83,16696.0
2013-01-03,ILS,-5798.31,54,-0.3,-107.21,15000.0,0.0,0.0,164.59,164.59,715.05,500.62,16696.0
2013-01-03,KRW,2595.42,57,0.17,45.91,15000.0,0.0,0.0,250.33,250.33,215.4,146.92,16696.0
2013-01-03,MXN,10694.91,45,0.88,235.2,15000.0,0.0,0.0,-653.6,-653.6,-392.86,-625.6,16696.0
2013-01-03,PLN,-8368.53,68,-0.49,-122.38,15000.0,0.0,0.0,858.75,858.75,1771.85,1583.48,16696.0
2013-01-03,ZAR,-3244.61,65,-0.45,-49.56,15000.0,0.0,0.0,169.36,169.36,151.51,77.89,16696.0
2013-01-04,CLP,-6144.09,75,-0.31,-81.64,15000.0,-2955.41,79.02,-45.34,-124.37,-24.65,-187.52,17686.0
2013-01-04,CNY,3477.34,67,0.26,51.72,15000.0,0.0,0.0,-313.28,-313.28,-313.28,-365.03,17686.0
2013-01-04,COP,7595.73,80,0.5,94.37,15000.0,0.0,0.0,3817.24,3817.24,4385.26,4083.77,17686.0
2013-01-04,CZK,6175.09,39,0.36,159.46,15000.0,2734.44,105.95,-107.17,-213.12,-512.68,-751.07,17686.0
