Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,0.0,76,-0.09,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16046.0
2013-01-01,CNY,0.0,68,-0.01,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16046.0
2013-01-01,COP,7285.12,76,0.55,96.39,15000.0,7285.12,289.16,-0.0,-289.16,0.0,-289.16,16046.0
2013-01-01,CZK,4396.55,39,0.24,112.83,15000.0,4396.55,169.24,0.0,-169.24,0.0,-169.24,16046.0
2013-01-01,HUF,4189.26,104,0.1,40.13,15000.0,4189.26,120.39,0.0,-120.39,0.0,-120.39,16046.0
2013-01-01,INR,-2597.8,56,-0.16,-46.03,15000.0,-2597.8,92.06,0.0,-92.06,0.0,-92.06,16046.0
2013-01-01,ILS,-5459.64,54,-0.35,-100.95,15000.0,-5459.64,201.91,0.0,-201.91,0.0,-201.91,16046.0
2013-01-01,KRW,3174.21,57,0.09,55.83,15000.0,3174.21,83.74,-0.0,-83.74,0.0,-83.74,16046.0
2013-01-01,MXN,10444.6,46,0.9,227.29,15000.0,10444.6,227.29,-0.0,-227.29,0.0,-227.29,16046.0
2013-01-01,PLN,-8410.04,67,-0.54,-126.2,15000.0,-8410.04,189.3,-0.0,-189.3,0.0,-189.3,16046.0
2013-01-01,ZAR,-4259.79,66,-0.31,-64.44,15000.0,-4259.79,96.65,0.0,-96.65,0.0,-96.65,16046.0
2013-01-02,CLP,-4375.46,76,-0.22,-57.52,15000.0,-4375.46,115.05,-0.0,-115.05,0.0,-115.05,16643.0
2013-01-02,CNY,2730.46,67,0.12,40.46,15000.0,2730.46,40.46,-0.0,-40.46,0.0,-40.46,16643.0
2013-01-02,COP,7285.12,75,0.5,96.76,15000.0,0.0,0.0,222.73,222.73,222.73,-66.43,16643.0
2013-01-02,CZK,4396.55,39,0.32,113.2,15000.0,0.0,0.0,-412.15,-412.15,-412.15,-581.39,16643.0
