Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,0.0,76,-0.11,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16069.0
2013-01-01,CNY,0.0,68,0.03,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16069.0
2013-01-01,COP,7059.65,76,0.51,93.4,15000.0,7059.65,280.21,-0.0,-280.21,0.0,-280.21,16069.0
2013-01-01,CZK,4901.6,39,0.28,125.79,15000.0,4901.6,188.68,0.0,-188.68,0.0,-188.68,16069.0
2013-01-01,HUF,4681.22,104,0.14,44.84,15000.0,4681.22,134.52,0.0,-134.52,0.0,-134.52,16069.0
2013-01-01,INR,0.0,56,-0.14,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16069.0
2013-01-01,ILS,-5238.65,54,-0.32,-96.87,15000.0,-5238.65,193.74,0.0,-193.74,0.0,-193.74,16069.0
2013-01-01,KRW,3468.62,57,0.13,61.01,15000.0,3468.62,91.51,-0.0,-91.51,0.0,-91.51,16069.0
2013-01-01,MXN,10222.31,46,0.86,222.46,15000.0,10222.31,222.46,-0.0,-222.46,0.0,-222.46,16069.0
2013-01-01,PLN,-8377.36,67,-0.51,-125.71,15000.0,-8377.36,188.57,-0.0,-188.57,0.0,-188.57,16069.0
2013-01-01,ZAR,-4766.49,66,-0.33,-72.1,15000.0,-4766.49,108.15,0.0,-108.15,0.0,-108.15,16069.0
2013-01-02,CLP,-4964.03,76,-0.24,-65.26,15000.0,-4964.03,130.52,-0.0,-130.52,0.0,-130.52,16684.0
2013-01-02,CNY,3434.88,67,0.16,50.9,15000.0,3434.88,50.9,-0.0,-50.9,0.0,-50.9,16684.0
2013-01-02,COP,7059.65,75,0.46,93.76,15000.0,0.0,0.0,215.84,215.84,215.84,-64.38,16684.0
2013-01-02,CZK,4901.6,39,0.36,126.2,15000.0,0.0,0.0,-459.5,-459.5,-459.5,-648.18,16684.0
2013-01-02,HUF,4681.22,104,0.22,44.98,15000.0,0.0,0.0,263.72,263.72,263.72,129.2,16684.0
2013-01-02,INR,0.0,56,-0.09,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16684.0
2013-01-02,ILS,-5238.65,54,-0.26,-97.07,15000.0,0.0,0.0,497.33,497.33,497.33,303.6,16684.0
2013-01-02,KRW,3468.62,57,0.2,61.3,15000.0,0.0,0.0,-46.68,-46.68,-46.68,-138.19,16684.0
2013-01-02,MXN,10222.31,46,0.8,223.62,15000.0,0.0,0.0,249.22,249.22,249.22,26.77,16684.0
2013-01-02,PLN,-8377.36,67,-0.44,-124.93,15000.0,0.0,0.0,914.07,914.07,914.07,725.5,16684.0
2013-01-02,ZAR,-4766.49,66,-0.43,-72.5,15000.0,0.0,0.0,-26.23,-26.23,-26.23,-134.38,16684.0
2013-01-03,CLP,-4964.03,76,-0.33,-65.59,15000.0,0.0,0.0,32.21,32.21,32.21,-98.32,16792.0
2013-01-03,CNY,3434.88,67,0.29,51.11,15000.0,0.0,0.0,-8.95,-8.95,-8.95,-59.85,16792.0
2013-01-03,COP,7059.65,75,0.43,94.21,15000.0,0.0,0.0,312.09,312.09,527.93,247.72,16792.0
2013-01-03,CZK,4901.6,39,0.43,126.54,15000.0,0.0,0.0,-118.2,-118.2,-577.7,-766.37,16792.0
2013-01-03,HUF,4681.22,103,0.28,45.23,15000.0,0.0,0.0,79.97,79.97,343.69,209.17,16792.0
2013-01-03,INR,0.0,56,-0.06,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16792.0
2013-01-03,ILS,-5238.65,54,-0.21,-96.86,15000.0,0.0,0.0,148.7,148.7,646.04,452.3,16792.0
2013-01-03,KRW,3468.62,57,0.27,61.35,15000.0,0.0,0.0,334.55,334.55,287.86,196.35,16792.0
2013-01-03,MXN,10222.31,45,0.75,224.8,15000.0,0.0,0.0,-624.72,-624.72,-375.5,-597.95,16792.0
2013-01-03,PLN,-8377.36,68,-0.39,-122.51,15000.0,0.0,0.0,859.65,859.65,1773.72,1585.16,16792.0
2013-01-03,ZAR,-4766.49,65,-0.53,-72.8,15000.0,0.0,0.0,248.8,248.8,222.57,114.42,16792.0
2013-01-04,CLP,-7552.84,75,-0.36,-100.36,15000.0,-2588.82,69.55,-70.59,-140.14,-38.38,-238.45,15991.0
2013-01-04,CNY,6910.0,67,0.39,102.77,15000.0,3475.13,51.65,-309.46,-361.11,-318.41,-420.96,15991.0
2013-01-04,COP,7059.65,80,0.39,87.71,15000.0,0.0,0.0,3547.84,3547.84,4075.77,3795.55,15991.0
2013-01-04,CZK,4901.6,39,0.48,126.57,15000.0,0.0,0.0,-152.67,-152.67,-730.37,-919.04,15991.0
2013-01-04,HUF,4681.22,103,0.34,45.24,15000.0,0.0,0.0,-670.23,-670.23,-326.54,-461.07,15991.0
2013-01-04,INR,0.0,56,-0.04,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,15991.0
2013-01-04,ILS,-2041.25,55,-0.17,-37.24,15000.0,3197.4,119.23,471.34,352.1,1117.38,804.4,15991.0
2013-01-04,KRW,3468.62,56,0.33,61.65,15000.0,0.0,0.0,-63.09,-63.09,224.77,133.26,15991.0
2013-01-04,MXN,7618.7,45,0.71,167.99,15000.0,-2603.61,56.81,-672.62,-729.44,-1048.12,-1327.39,15991.0
2013-01-04,PLN,-8377.36,70,-0.34,-119.66,15000.0,0.0,0.0,326.48,326.48,2100.2,1911.63,15991.0
